BASE_URI|TITLE|DATE|FORMAT|CONTRIBUTOR|SUBJECT|DESCRIPTION|SOURCE|RIGHTS|FILE_PATH
Metadata/1941/Rosaland_Franklin-DNA-Maddox-p154-2002.xml|Rosalind Franklin: The Dark Lady of DNA|2002|books|Maddox, Brenda|DNA|Deoxyribonucleic acid is a molecule that encodes the genetic instructions used in the development and functioning of all known living organisms and many viruses. Most DNA forms two strands that wrap around each other to form a double helix. James Watson and Francis Crick were awarded a Nobel Prize for their proposed design of the double helix in 1953, based on the photography of Rosalind Franklin and Raymond Gosling.|NULL|copyrighted HarperCollins; claiming fair use on grounds of amount, transformative use, affect on market and importance to presentationCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/1941/Systema_Naturae-Linne-1788.xml|Systema Naturae per Regna Tria Naturae, Secundum Classes, Ordines, Genera, Species, cum Characteribus, Differentiis, Synonymis, Locis|1788|books|Linné, Carl von, 1707-1778.|Biology--Classification|Swedish naturalist Carl Linnaeus identified the three kingdoms of nature (stones, plants and animals) in his Systema Naturae (1735). Each kingdom was subdivided into classes, orders, genera, species, and varieties. Linnaeus identified six classes of animals, including mammalia, a term he coined that referred to animals that suckled. For Linnaeus, the naming and classifying of living beings was the key to all knowledge, especially the knowledge of God's plan for the world.|Sevier Collection/QH 43 .C53 1788|published before 1923Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/1941/The_Holy_Bible-1613.xml|The Holy Bible, Containing the Old testament and the New...Appointed To Be Read in Churches|1613|Bibles|Barker, Robert|Christianity; Bible|Commissioned by King James I in 1604 for the Church of England, this is the third translation of the Christian Bible into English. Robert Barker, the King's Printer, first published the book in 1611; this edition contains printing errors that were eventually eliminated in a later edition of 1613. This folio depicts the offspring of Adam and Eve as a tree form, with text, "As by one man’s disobedience many were made sinners, so by the obedience of one shall many also be made righteous."|Memorabilia Collection/BS185 1613 .L6|published in 1613Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/1941/Voyage_Historique_de_L'Amerique_Meridionale-Ulloa-1752.xml|Voyage Historique de l'Amérique Méridionale Fait par Ordre du Roi d'Espagne|1752|books|Juan, Jorge, 1713-1773; Ulloa, Antonio de, 1716-1795; Mauvillon, Eléazar, 1712-1779|Arc measures; Scientific expeditions; Peru--History--To 1820|In 1734, King Philip V of Spain asked Spanish mathematician, scientist and mariner Jorge Juan and scientist, author and astronomer Antonio de Ulla to join the French Geodesic Mission in measuring the length of a degree of meridian arc at the Equator.  The mission was to determine the roundness of the Earth. Ulloa later published an account of the people and sights they encountered.  Shown here is a triple rainbow seen after the eruption of Mount Cotopaxi.|Sevier Oversize Collection/F2221 .U441|published 1752Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|NULL
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Lynette_Fromme-Postcard-April_25_1975-01-AB.xml|[Postcard from Lynette Fromme to David Nicholas, April 25, 1975]|1975-04-25|Postcards|Fromme, Lynette Alice, 1948-|Manson, Charles, 1934-|As a protégé and longtime follower of Charles Manson, Lynette “Squeaky” Fromme acted as spokesman for the ‘Family” carrying the message of Manson to the media.  After his arrest and 1971 conviction for the Tate/LaBianca murders Fromme continued to represent Manson and deliver messages from him to his followers and keep his name alive in the press. She was trying to write a history of the “Manson Family” using scrapbooks she created from letters, photographs and news clippings though no manuscript was ever found.|James G. Stahlman Historical Autograph Collection, Lynette Fromme, MSS0412|NULLCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Lynette_Fromme-Postcard-April_25_1975-01-AB.jpg
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Lynette_Fromme-Postcard-April_29-01-AB.xml|[Postcard from Lynette Fromme to David Nicholas, April 29, 1975]|1975-04-24|Postcards|Fromme, Lynette Alice, 1948-|Manson, Charles, 1934-|In this postcard Lynette “Squeaky” Fromme (1948- ) relates some news on Charles Manson and family members to potential biographer David Nicholas.  She refers to fellow family members Susan Atkins, Patricia Krenwinkel and Linda Kasabian being confined at the California Institute for Women’s Prison (C.I.W.) and writes about the death of King Faisal of Saudi Arabia and Manson’s thoughts on world violence.  She corresponded with hundreds of people interested in Manson’s philosophy during the years after his conviction trying to keep his message alive.|James G. Stahlman Historical Autograph Collection, Lynette Fromme, MSS0412|NULLCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Lynette_Fromme-Postcard-April_29-01-AB.jpg
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Lynette_Fromme-Postcard-Feb_1975-01-AB.xml|[Postcard from Lynette Fromme to David Nicholaus, February 1975]|1975-02|Postcards|Fromme, Lynette Alice, 1948-|Manson, Charles, 1934-|After the conviction of Charles Manson (1934- ) for conspiring to murder seven people and the publication of Vincent Bugliosi’s book Helter Skelter: The True Story of the Manson Murders people from around the world wanted to write an official history of Manson and his Family. Lynette Fromme (1948- ) fielded these requests for information and vetted offers from publishing houses to the rights of the true history of the group. Writing in coded language she warns a potential biographer to stick to the “True” story of Manson and not give in to the media hype surrounding him and his followers.|James G. Stahlman Historical Autograph Collection, Lynette Fromme, MSS0412|NULLCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Lynette_Fromme-Postcard-Feb_1975-01-AB.jpg
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Time-The_Girl_Who_Almost_Killed_Ford-Sept_15_1975.xml|The Girl Who Almost Killed Ford|1975-09-15|Periodicals|Time|Fromme, Lynette Alice, 1948-|Lynette “Squeaky” Fromme made the cover of Time for her attempted assassination of President Gerald Ford on September 5, 1975. Feminist leaders across the country reacted to the magazine’s use of the word “Girl” to describe Fromme who was twenty-seven at the time, asking if they would have used “Boy” if Fromme had been male. For a short time she transformed from Charles Manson acolyte, would be assassin to feminist cause célèbre.|James G. Stahlman Historical Autograph Collection, Lynette Fromme, MSS0412|Copyright undeterminedCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Time-The_Girl_Who_Almost_Killed_Ford-Sept_15_1975.jpg
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.01.xml|The Washington Star, September 6, 1975, Front Page|1975-09-06|Newspapers|Barnes, Frederic Wood, 1943-|Presidents--Assassination attempts--Periodicals; Ford, Gerald R., 1913-2006--Periodicals; Fromme, Lynette Alice, 1948---Periodicals|News of the attempted assassination of President Gerald Ford (1913-2006) broke immediately after it happened. All three of the major television news stations were filming as Lynette “Squeaky” Fromme (1948- ) pushed towards the President with her pistol, capturing the event as it happened. Newspapers of the day splashed the front pages with images of Fromme, Secret Service agents and the President. The Washington Star’s September 6, 1975 coverage of the startling event is typical of what front pages all over the country looked like the day after the attempted assassination.|James G. Stahlman Historical Autograph Collection, Lynette Fromme, MSS0412|Ceased production in 1981Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.01.jpg
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.02.xml|The Washington Star, September 6, 1975, Page A-4|1975-09-06|Newspapers|Barnes, Frederic Wood, 1943-|Presidents--Assassination attempts--Periodicals; Ford, Gerald R., 1913-2006--Periodicals; Fromme, Lynette Alice, 1948---Periodicals|News of the September 5, 1975 assassination attempt on President Gerald Ford’s (1913-2006) life struck a chord deep in the American psyche as it had only been twelve years since the assassination of President John F. Kennedy by Lee Harvey Oswald.  Lynette “Squeaky” Fromme was the first woman to attempt an assassination of an American president.  Interestingly, only seventeen days later while leaving a hotel in San Fransisco, California another attempt was made on Ford’s life by Sara Jane Moore who actually fired off a round at the President.|James G. Stahlman Historical Autograph Collection, Lynette Fromme, MSS0412|Ceased publication in 1981Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Washington_Star-Sept_6_1975-Lynette_Fromme.02.jpg
Metadata/Crime-in-the-Archives/assassinations/MS0412-Ford-assassin-Fromme.xml|Fromme Fires Co-Counsel|1975-11-05|Black-and-white photographs|Associated Press|Fromme, Lynette Alice, 1948---Pictorial works|The trial of Lynette “Squeaky” Fromme for attempting to assassinate United States President Gerald Ford began on November 4, 1975. Three days before the trial began, President Ford gave a videotape testimony from the White House as a defense witness in the trial of Fromme. The testimony was the first time a President testified at a criminal trial. Throughout the trial Fromme was disruptive and often had to watch the proceedings via close-circuit television because of her outbursts.|James G. Stahlman Historical Autograph Collection, Lynette Fromme, MSS0412|Most likely copyrighted by APCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-Ford-assassin-Fromme.jpg
Metadata/Crime-in-the-Archives/assassinations/MS0412-Ford-assassination_attempt.xml|President Gerald Fold Assassination Attempt|1975-09-05|First day covers|Colorano Covers|Presidents--Assassination attempts--United States|This Colorano “Silk” Cachet First Day Cover memorializes the assassination attempt by Lynette “Squeaky” Fromme (1948- ) to shoot President Gerald Ford (1913-2006) as he crossed a park in front of the California State Capitol at Sacramento, California on September 5, 1975. First Day Covers have become popular ways to commemorate events and people and are highly collectible.|James G. Stahlman Historical Autograph Collection, Lynette Fromme, MS0412|Does not infringe on themCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-Ford-assassination_attempt.jpg
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-J_Edgar_Hoover_Autograph-1949.xml|[Portrait of J. Edgar Hoover]|1949|Color lithographs; Courtroom illustrations|Frehm, Paul, 1938-1978|Hoover, J. Edgar (John Edgar), 1895-1972|Illustrator Paul Frehm worked with reporter Damon Runyon to cover the Lindbergh trial for the New York Daily Mirror, a William Randoph Hurst newspaper publication. Frehm’s illustration of J. Edgar Hoover, who led the Bureau of Investigation’s efforts to find the kidnapper, portrays the director in 1949. Hoover's dogged success in the case raised his own profile and helped to bring the Federal Kidnapping Act to Congress, allowing federal authorities jurisdiction in cases crossing state lines.|James G. Stahlman Autograph Collection, Hoover, J. Edgar folder|Signed in the plate by Paul Frehm, but no copyright notice in CCC.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-J_Edgar_Hoover_Autograph-1949.jpg
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Hauptmann_photos.xml|[Montage of Three Photographs of Bruno Richard Hauptmann on Trial]|1934|News photographs|Scheafer, Henry A.|Hauptmann, Bruno Richard, 1899-1936--Pictorial works|The $50,000 ransom paid for the Lindbergh baby contained a number of gold certificates that were scheduled to be withdrawn from circulation. The Federal Bureau of Investigation (FBI) also recorded the serial numbers of all notes. When one of the certificates turned up in a Manhattan gas station, an alert attendant marked it with the license plate of a suspicious customer. This led agents to arrest Bruno Richard Hauptmann, a German immigrant living in the German-Austrian neighborhood of Yorkville.|James G. Stahlman Autograph Collection, Lindbergh, Charles folder|Scheafer worked for Acme but image not found as montage on Corbis (center image is there), nor on Proquest Historical Newspapers or Google Image search.  Check with Corbis http://www.corbisimages.com/?gclid=CjwKEAiAveWnBRCzjqf4zpuUkGYSJABcoZbHJByIYe0TOtTaXCup6EACOQUCk-AkuTHQ2KVv-sM2bxoCiO7w_wcB&gclsrc=aw.ds&dclid=CJSQ9N7ilMQCFRAGgQod064AMgCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Lindbergh-Hauptmann_photos.jpg
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Honor_program_cover-June_17_1927.xml|Breakfast in Honor of Captain Charles A. Lindbergh on the Presentation of the Raymond Orteig $25000 Dollar Prize|1927-06-17|Programs (documents)|Malcolm and Hayes (Firm)|Lindbergh, Charles A. (Charles Augustus), 1902-1974|Charles Lindbergh's May 1927 solo flight from New York to Paris caught the world's attention and made him an instant celebrity. Conducted on the cusp of the Great Depression and the rise of underworld crime, the flight was a shining moment for a country that was quickly heading into darkness. When the pilot's baby was kidnapped in 1932, many Americans questioned how something so heinous could happy to their hero.  Surely, if it could happen to Lindy, it could also happen to them.|James G. Stahlman Autograph Collection, Lindbergh, Charles|c. Malcolm and Hayes, New York. Note that this company appears to be out of business, so considered orphaned--not found in CCC, LC, or Google.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Lindbergh-Honor_program_cover-June_17_1927.jpg
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Ladder-March_8_1932.xml|How Kidnappers (sic) Got Lindy Baby|1932|News photographs|NULL|Lindbergh, Charles A. (Charles August), 1859-1924|The public was fascinated by how Charles and Anne Lindbergh's baby was kidnapped. Newspapers were full of details like this photograph of the home in Hopewell, New Jersey. The homemade ladder used to enter the baby's room proved critical in determining the guilt of Bruno Richard Hauptmann, a German-born carpenter, when the FBI called in a U.S. Department of Agriculture wood expert to compare the ladder to identical wood in Hauptmann's attic.|James G. Stahlman Autograph Collection, Lindbergh, Charles folder|no photographer or news service noted on object; similar photo found in ProQuest Historical Newspapers notes Acme Photo; not found in Corbis, which purchased Acme, nor LOC, which owns a number of items; Not found in NJ Lindbergh collection (http://www.nj.gov/state/archives/slcsp001.html), not in AP database--no copyright notice listed on object.  Contact CORBIS -- 902 Broadway -- New York, NY 10010 -- telephone (800) 260-0444 -- web site: http://www.corbisimages.comCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Lindbergh-Ladder-March_8_1932.jpg
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Sept_22_1934-01.xml|Link Hauptmann to Kidnap Ladder: Traced to Lindy Home|1934-09-22|Clippings (information artifacts)|New York Evening Journal|Lindbergh, Charles A. (Charles Augustus), 1902-1974|The country followed the Lindbergh case as it was happening, as this issue of the New York Journal, published two days before Bruno Hauptmann was indicted for extoring $50,000 from Charles Lindbergh, reveals.  A jotted-down license plate on a gold certificate led police to Hauptmann's Bronx residence, where police found $14,000 in ransom money in a shoe box hidden in the garage.  They also found wood in his attic that matched the wood of the ladder used to take the Lindbergh baby.|James G. Stahlman Autograph Collection, Lindbergh, Charles folder|Not located in New York Journal American Collection at Harry Ransom Center (see http://norman.hrc.utexas.edu/nyjadc/gallery.cfm#navtop). Contact Harry Ransom Center,  -- The University of Texas at Austin -- 300 West 21st Street -- Austin, Texas 78712; No Rights contact, fill in form: http://www.hrc.utexas.edu/contact/Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Lindbergh-Sept_22_1934-01.jpg
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Sept_22_1934-02.xml|Two Sites in Kidnap Case Linked to Suspect by Map|1934-09-22|clippings (information artifacts)|New York Evening Journal|Hauptmann, Bruno Richard, 1899-1936; Lindbergh, Charles Augustus, 1930-1932--Kidnapping, 1932|These two aerial photographs depict Bruno Hauptmann's upper Bronx home and St. Raymond's Cemetery, where the Lindbergh ransom money was delivered.  Less than two miles separate the two locations. The New York Evening Journal was the first newspaper to regularly team a reporter with a photographer on major stories. A complete in-house lab and photographic technicians meant that that photojournalists could have images ready for print in 90 minutes.|James G. Stahlman Autograph Collection, Lindbergh, Charles folder|Not located in New York Journal American Collection at Harry Ransom Center (see http://norman.hrc.utexas.edu/nyjadc/gallery.cfm#navtop). Contact Harry Ransom Center,  -- The University of Texas at Austin -- 300 West 21st Street -- Austin, Texas 78712; No Rights contact, fill in form: http://www.hrc.utexas.edu/contact/Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Lindbergh-Sept_22_1934-02.jpg
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Spirit_Autograph.xml|[Pilot Charles Lindbergh Poses Alongside His Famous Plane 'The Spirit of St. Louis']|1927-05-20; 1902|News photographs; Signatures (names)|Daily News (New York); Unknown|Lindbergh, Charles A. (Charles Augustus), 1902-1974--Pictorial works; Spirit of St. Louis (Airplane)--Pictorial works|In 1919, French businessman Raymond Orteig established a $25000 prize to the first person to fly non-stop from New York to Paris. Eight years later, Charles Augustus Lindbergh collected the prize. Lindbergh's achievement was a boon to the fledgling aviation industry and while the Great Depression slowed some of that progress, Lindbergh's achievement set the stage for airplane production in World War II.|James G. Stahlman Autograph Collection, Lindbergh, Charles folder|C. New York Daily News/Getty Images -- UNITED STATES - CIRCA MAY 1927: Pilot Charles Lindbergh poses alongside his famous plane 'The Spirit of St. Louis', circa May of 1927. (Photo by NY Daily News Archive via Getty Images) -- Credit: New York Daily News Archive / contributor -- Contact: http://www.gettyimages.com/contactus Getty Images, Chicago -- 55 E Monroe Street -- 17th fl, Suite 1700 -- Chicago, IL 60603 -- USA -- +1 312 344 4500 -- Sales: +1 800 462 437; autograph has no creative component that would be copyright-ableCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-C-Lindbergh-Spirit_Autograph.jpg
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-Lindbergh-coin.xml|The Charles Lindbergh Flight (26th Commemorative)|1964|Commemorative medals|Becker, Henry A.; Franklin Mint|Lindbergh, Charles A. (Charles Augustus), 1902-1974--Numismatics; Spirit of St. Louis (Airplane); Air pilots--United States; Transatlantic flights|In an era of supersonic jets and bullet trains, of flights to the moon and Googlemaps, Charles Lindbergh's legendary 33 hour and 30 minute solo flight across the Atlantic in the cramped cockpit of a one-engine plane continues to capture the imagination of the world. "Lucky Lindy's" stripped down design and courage made him an idol to the world.  Lindbergh gave the Spirit of St. Louis to the Smithsonian where it has been on display for over 80 years.|James G. Stahlman Autograph Collection, Lindbergh, Charles|C. Franklin Mint Copyright Agent -- Delivery Agent, Inc. Department -- 300 California Street, Third Floor -- San Francisco, CA 94104 -- phone: (415) 696.5768 -- fax: (415) 358.5661 -- e-mail: copyright@deliveryagent.com -- Note: Sequential Brands Group purchased Franklin Mint.Copyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/MS0412-Lindbergh-coin.jpg
Metadata/Crime-in-the-Archives/Leopold and Loeb/HV6248_L43_L54_1958-C-Life_Plus_99_Years.xml|Life Plus 99 Years|1958|Paperbacks; Books|Leopold, Nathan Freudenthal, 1904-1971; Gardner, Erle Stanley, 1889-1970; Popular Library|Leopold, Nathan Freudenthal, 1904-1971; Loeb, Richard A., 1905-1936; Trials (Murder)--Illinois--Chicago; Murderers--Illinois--Chicago--Biography; Murder--Illinois--Chicago--Case studies|Nathan Leopold (1904-1971) wrote Life Plus 99 Years while in prison awaiting a parole hearing.  He was released in 1958 after thirty-three years of incarceration.  Nathan Leopold and Richard Loeb’s (1905-1936) are best known for the heinous murder of fourteen year-old Bobby Franks on May 21, 1924 in Chicago, Illinois. Leopold’s autobiography details how the rehabilitation of inmates can be effective as seen in his own experience. Upon his release from the Statesville Penitentiary he moved to Puerto Rico, married and worked as an X-ray technician.|Sevier Collection, HV 6248 .L43 L54 1958|NULLCopyright maintained by Vanderbilt University Special Collections|Copyright maintained by Vanderbilt University Special Collections|PATH TO IMAGES/HV6248_L43_L54_1958-C-Life_Plus_99_Years.jpg
