BASE_URI	TITLE	DATE	FORMAT	CONTRIBUTOR	SUBJECT	DESCRIPTION	SOURCE	RIGHTS	FILE_PATH	FILE_NAME	TAGS
Metadata/1941/Principia_Philosophiae-1685-Descartes.xml	Principia Philosophiæ|Principia Philosophiae	1685	Books	Descartes, René, 1596-1650|Typographia Blaviani	Physics--Early works to 1800|Science--Early works to 1800	French philosopher, mathematician and writer René Descartes has been called the father of modern philosophy. His Principia Philosophiae, first published in 1644, put forth the theory that the universe operated as a continuously running machine which God had set in motion. The universe, which has no vacuum, was composed of a 'subtle matter' he named 'tourbillons,' which swirled in vortices like whirlpools and actually moved the planets by contact.	Memorabilia Collection, B1863 1685	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Principia_Philosophiae-1685-Descartes.jpg	Principia_Philosophiae-1685-Descartes.jpg	1941|2015 Exhibits
Metadata/1941/Rosaland_Franklin-DNA-Maddox-p154-2002.xml	Rosalind Franklin: The Dark Lady of DNA	2002	Books	Maddox, Brenda|HarperCollins (Firm)	DNA--Research--History|Franklin, Rosalind, 1920-1958|Women molecular biologists--Great Britain--Biography	Deoxyribonucleic acid (DNA) is a molecule that encodes the genetic instructions used in the development and functioning of all known living organisms and many viruses. Most DNA forms two strands that wrap around each other to form a double helix. James Watson and Francis Crick were awarded a Nobel Prize for their proposed design of the double helix in 1953, based on the photography of Rosalind Franklin and Raymond Gosling.	Science and Engineering Library, QP26 .F68 M334 2002	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Rosaland_Franklin-DNA-Maddox-p154-2002.jpg	Rosaland_Franklin-DNA-Maddox-p154-2002.jpg	1941|2015 Exhibits
Metadata/1941/Systema_Naturae-Linne-1788.xml	Systema Naturae per Regna Tria Naturae	1788	Books	Linné, Carl von, 1707-1778|Gmelin, Johann Friedrich, 1748-1804|G.E. Beer	Biology--Classification|Natural history--Classification	Swedish naturalist Carl Linnaeus identified the three kingdoms of nature (stones, plants and animals) in his Systema Naturae (1735). Each kingdom was subdivided into classes, orders, genera, species, and varieties. Linnaeus identified six classes of animals, including mammalia, a term he coined that referred to animals that suckled. For Linnaeus, the naming and classifying of living beings was the key to all knowledge, especially the knowledge of God's plan for the world.	Sevier Collection, QH43 .C53 1788	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Systema_Naturae-Linne-1788.jpg	Systema_Naturae-Linne-1788.jpg	1941|2015 Exhibits
Metadata/1941/The_Holy_Bible-1613.xml	The Holy Bible|Great She Bible|Judas Bible	1613	Bibles	Barker, Robert, -1645		Commissioned by King James I in 1604 for the Church of England, this is the third translation of the Christian Bible into English. Robert Barker, the King's Printer, first published the book in 1611; this edition contains printing errors that were eventually eliminated in a later edition of 1613. This folio depicts the offspring of Adam and Eve as a tree form, with text, "As by one man’s disobedience many were made sinners, so by the obedience of one shall many also be made righteous."	Memorabilia Collection, BS185 1613 .L6	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/The_Holy_Bible-1613.jpg	The_Holy_Bible-1613.jpg	1941|2015 Exhibits
Metadata/1941/Voyage_Historique_de_L'Amerique_Meridionale-Ulloa-1752.xml	Voyage Historique de l'Amérique Méridionale: Fait par Ordre du Roi d'Espagne|Relacion historica del viage à la America Meridional|Voyage au Perou	1752	Books	Juan, Jorge, 1713-1773|Ulloa, Antonio de, 1716-1795|Mauvillon, Eléazar, 1712-1779|Arkstée et Merkus	South America--Description and travel--Early works to 1800|Arc measures|Earth (Planet)--Figure|Astronomy--Early works to 1800|Nautical astronomy--Early works to 1800	In 1734, King Philip V of Spain asked Spanish mathematician, scientist and mariner Jorge Juan and scientist, author and astronomer Antonio de Ulla to join the French Geodesic Mission in measuring the length of a degree of meridian arc at the Equator. The mission was to determine the roundness of the Earth. Ulloa later published an account of the people and sights they encountered. Shown here is a triple rainbow seen after the eruption of Mount Cotopaxi.	Sevier Oversize Collection, F2221 .U441	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/Voyage_Historique_de_L'Amerique_Meridionale-Ulloa-1752.jpg	Voyage_Historique_de_L'Amerique_Meridionale-Ulloa-1752.jpg	1941|2015 Exhibits
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Lynette_Fromme-Postcard-April_25_1975-01-AB.xml	[Postcard from Lynette Fromme, April 25, 1975]	1975-04-25	Postcards	Fromme, Lynette Alice, 1948-	Manson, Charles, 1934-	As a protégé and longtime follower of Charles Manson, Lynette “Squeaky” Fromme acted as spokesman for the "family” carrying the message of Manson to the media. After Manson's arrest and 1971 conviction for the Tate/LaBianca murders, Fromme continued to represent Manson and deliver messages from him to his followers and keep his name alive in the press. She was trying to write a history of the Manson family using scrapbooks she created from letters, photographs and news clippings. No manuscript was ever found.	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Lynette_Fromme-Postcard-April_25_1975-01-AB.jpg	MS0412-C-Lynette_Fromme-Postcard-April_25_1975-01-AB.jpg	Crime in the Archives|Assassinations|2015 Exhibits
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Lynette_Fromme-Postcard-April_29-01-AB.xml	[Postcard from Lynette Fromme to David Nicolaus, April 29, 1975]	1975-04-24	Postcards	Fromme, Lynette Alice, 1948-	Manson, Charles, 1934-	In this postcard, Lynette “Squeaky” Fromme (1948- ) relates some news on Charles Manson and family members to potential biographer David Nicholas. She refers to fellow family members Susan Atkins, Patricia Krenwinkel and Linda Kasabian being confined at the California Institute for Women’s Prison (C.I.W.) and writes about the death of King Faisal of Saudi Arabia and Manson’s thoughts on world violence.  She corresponded with hundreds of people interested in Manson’s philosophy during the years after his conviction trying to keep his message alive.	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Lynette_Fromme-Postcard-April_29-01-AB.jpg	MS0412-C-Lynette_Fromme-Postcard-April_29-01-AB.jpg	Crime in the Archives|Assassinations|2015 Exhibits
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Lynette_Fromme-Postcard-Feb_1975-01-AB.xml	[Postcard from Lynette Fromme to David Nicholaus, February 1975]	1975-02	Postcards	Fromme, Lynette Alice, 1948-	Manson, Charles, 1934-	After the conviction of Charles Manson (1934- ) for conspiring to murder seven people and the publication of Vincent Bugliosi’s book Helter Skelter: The True Story of the Manson Murders, people from around the world wanted to write an official history of Manson and his family. Lynette Fromme (1948- ) fielded these requests for information and vetted offers from publishing houses to the rights of the true history of the group. Writing in coded language, she warns a potential biographer to stick to the true story of Manson and not give in to the media hype surrounding him and his followers.	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Lynette_Fromme-Postcard-Feb_1975-01-AB.jpg	MS0412-C-Lynette_Fromme-Postcard-Feb_1975-01-AB.jpg	Crime in the Archives|Assassinations|2015 Exhibits
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Time-The_Girl_Who_Almost_Killed_Ford-Sept_15_1975.xml	The Girl Who Almost Killed Ford	1975-09-15	Periodicals	Time	Fromme, Lynette Alice, 1948-	Lynette “Squeaky” Fromme made the cover of Time for her attempted assassination of President Gerald Ford on September 5, 1975. Feminist leaders across the country reacted to the magazine’s use of the word “Girl” to describe Fromme, who was twenty-seven at the time, asking if they would have used “Boy” if Fromme had been male. For a short time she transformed from Charles Manson acolyte, would be assassin, to feminist cause célèbre.	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Copyright held by Time Magazine	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Time-The_Girl_Who_Almost_Killed_Ford-Sept_15_1975.jpg	MS0412-C-Time-The_Girl_Who_Almost_Killed_Ford-Sept_15_1975.jpg	Crime in the Archives|Assassinations|2015 Exhibits
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.01.xml	The Washington Star, Front Page	1975-09-06	Newspapers	Barnes, Frederic Wood, 1943-	Presidents--Assassination attempts--Periodicals|Ford, Gerald R., 1913-2006--Periodicals|Fromme, Lynette Alice, 1948---Periodicals	News of the attempted assassination of President Gerald Ford (1913-2006) broke immediately after it happened. All three of the major television news stations were filming as Lynette “Squeaky” Fromme (1948- ) pushed toward the president with her pistol, capturing the event as it happened. Newspapers of the day splashed the front pages with images of Fromme, Secret Service agents and the president. The Washington Star’s September 6, 1975, coverage of the startling event is typical of what front pages all over the country looked like the day after the attempted assassination.	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.01.jpg	MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.01.jpg	Crime in the Archives|Assassinations|2015 Exhibits
Metadata/Crime-in-the-Archives/assassinations/MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.02.xml	The Washington Star, Page A-4	1975-09-06	Newspapers	Barnes, Frederic Wood, 1943-	Presidents--Assassination attempts--Periodicals|Ford, Gerald R., 1913-2006--Periodicals|Fromme, Lynette Alice, 1948---Periodicals	News of the September 5, 1975, assassination attempt on President Gerald Ford’s (1913-2006) life struck a chord deep in the American psyche as it had only been twelve years since the assassination of President John F. Kennedy by Lee Harvey Oswald. Lynette “Squeaky” Fromme was the first woman to attempt an assassination of an American president. Interestingly, only seventeen days later, while leaving a hotel in San Fransisco, California, another attempt was made on Ford’s life by Sara Jane Moore, who actually fired off a round at the president.	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Washington_Star-Sept_6_1975-Lynette_Fromme.02.jpg	MS0412-C-Washington_Star-Sept_6_1975-Lynette_Fromme.02.jpg	Crime in the Archives|Assassinations|2015 Exhibits
Metadata/Crime-in-the-Archives/assassinations/MS0412-Ford-assassin-Fromme.xml	Fromme Fires Co-Counsel	1975-11-05	Black-and-white photographs	Associated Press	Fromme, Lynette Alice, 1948---Pictorial works	The trial of Lynette “Squeaky” Fromme for attempting to assassinate United States President Gerald Ford began on November 4, 1975. Three days before the trial began, President Ford gave a videotaped testimony from the White House as a defense witness in the trial of Fromme. The testimony was the first time a president testified at a criminal trial. Throughout the trial, Fromme was disruptive and often had to watch the proceedings via close-circuit television because of her outbursts.	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-Ford-assassin-Fromme.jpg	MS0412-Ford-assassin-Fromme.jpg	Crime in the Archives|Assassinations|2015 Exhibits
Metadata/Crime-in-the-Archives/assassinations/MS0412-Ford-assassination_attempt.xml	President Gerald Fold Assassination Attempt	1975-09-05	First day covers	Colorano Covers	Presidents--Assassination attempts--United States	This Colorano “Silk” Cachet First Day Cover memorializes the assassination attempt by Lynette “Squeaky” Fromme (1948- ) to shoot President Gerald Ford (1913-2006) as he crossed a park in front of the California State Capitol at Sacramento, California, on September 5, 1975. First Day Covers have become popular ways to commemorate events and people and are highly collectible.	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-Ford-assassination_attempt.jpg	MS0412-Ford-assassination_attempt.jpg	Crime in the Archives|Assassinations|2015 Exhibits
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-J_Edgar_Hoover_Autograph-1949.xml	[Portrait of J. Edgar Hoover]	1949	Color lithographs	Frehm, Paul, 1938-1978	Hoover, J. Edgar (John Edgar), 1895-1972	Illustrator Paul Frehm worked with reporter Damon Runyon to cover the Lindbergh trial for the New York Daily Mirror, a William Randoph Hearst newspaper publication. Frehm’s illustration of J. Edgar Hoover, who led the Bureau of Investigation’s efforts to find the kidnapper, portrays the director in 1949. Hoover's dogged success in the case raised his own profile and helped to bring the Federal Kidnapping Act to Congress, allowing federal authorities jurisdiction in cases crossing state lines.	MSS0412, James G. Stahlman Historical Autograph Collection, Hoover, J. Edgar folder	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-J_Edgar_Hoover_Autograph-1949.jpg	MS0412-C-J_Edgar_Hoover_Autograph-1949.jpg	Crime in the Archives|Crime of the Century|2015 Exhibits
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Hauptmann_photos.xml	[Montage of Three Photographs of Bruno Richard Hauptmann on Trial]	1934	News photographs	Scheafer, Henry A.	Hauptmann, Bruno Richard, 1899-1936--Portraits	The $50,000 ransom paid for the Lindbergh baby contained a number of gold certificates that were scheduled to be withdrawn from circulation. The Federal Bureau of Investigation (FBI) also recorded the serial numbers of all notes. When one of the certificates turned up in a Manhattan gas station, an alert attendant marked it with the license plate of a suspicious customer. This led agents to arrest Bruno Richard Hauptmann, a German immigrant living in the German-Austrian neighborhood of Yorkville.	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles folder	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Lindbergh-Hauptmann_photos.jpg	MS0412-C-Lindbergh-Hauptmann_photos.jpg	Crime in the Archives|Crime of the Century|2015 Exhibits
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Honor_program_cover-June_17_1927.xml	Breakfast in Honor of Captain Charles A. Lindbergh on the Presentation of the Raymond Orteig $25000 Prize	1927-06-17	Programs (documents)	Malcolm and Hayes (Firm)	Lindbergh, Charles A. (Charles Augustus), 1902-1974	Charles Lindbergh's May 1927 solo flight from New York to Paris caught the world's attention and made him an instant celebrity. Conducted on the cusp of the Great Depression and the rise of underworld crime, the flight was a shining moment for a country that was quickly heading into darkness. When the pilot's baby was kidnapped in 1932, many Americans questioned how something so heinous could happy to their hero.  Surely, if it could happen to Lindy, it could also happen to them.	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles	Public Domain	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Lindbergh-Honor_program_cover-June_17_1927.jpg	MS0412-C-Lindbergh-Honor_program_cover-June_17_1927.jpg	Crime in the Archives|Crime of the Century|2015 Exhibits
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Ladder-March_8_1932.xml	How Kidnapers (sic) Got Lindy Baby	1932	News photographs		Lindbergh, Charles A. (Charles August), 1859-1924	The public was fascinated by how Charles and Anne Lindbergh's baby was kidnapped. Newspapers were full of details like this photograph of the home in Hopewell, New Jersey. The homemade ladder used to enter the baby's room proved critical in determining the guilt of Bruno Richard Hauptmann, a German-born carpenter. The FBI called in a U.S. Department of Agriculture wood expert to compare the ladder to identical wood in Hauptmann's attic.	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles folder	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Lindbergh-Ladder-March_8_1932.jpg	MS0412-C-Lindbergh-Ladder-March_8_1932.jpg	Crime in the Archives|Crime of the Century|2015 Exhibits
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Sept_22_1934-01.xml	Link Hauptmann to Kidnap Ladder: Traced to Lindy Home	1934-09-22	Clippings (information artifacts)	New York Evening Journal	Lindbergh, Charles A. (Charles Augustus), 1902-1974	The country followed the Lindbergh case as it was happening, as this issue of the New York Journal, published two days before Bruno Hauptmann was indicted for extoring $50,000 from Charles Lindbergh, reveals.  A jotted-down license plate on a gold certificate led police to Hauptmann's Bronx residence, where police found $14,000 in ransom money in a shoe box hidden in the garage.  They also found wood in his attic that matched the wood of the ladder used to take the Lindbergh baby.	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles folder	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Lindbergh-Sept_22_1934-01.jpg	MS0412-C-Lindbergh-Sept_22_1934-01.jpg	Crime in the Archives|Crime of the Century|2015 Exhibits
Metadata/Crime-in-the-Archives/Crime of the Century/MS0412-C-Lindbergh-Sept_22_1934-02.xml	Traced to Lindy Home: Link Hauptmann to Kidnap Ladder	1934-09-22	Clippings (information artifacts)	New York Evening Journal	Hauptmann, Bruno Richard, 1899-1936|Lindbergh, Charles Augustus, 1930-1932--Kidnapping, 1932	These two aerial photographs depict Bruno Hauptmann's upper Bronx home and St. Raymond's Cemetery, where the Lindbergh ransom money was delivered. Less than two miles separate the two locations. The New York Evening Journal was the first newspaper to regularly team a reporter with a photographer on major stories. A complete in-house lab and photographic technicians meant that that photojournalists could have images ready for print in 90 minutes.	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles folder	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Lindbergh-Sept_22_1934-01.jpg|http://libexh.library.vanderbilt.edu/impomeka/2015-exhibit/MS0412-C-Lindbergh-Sept_22_1934-02.jpg	MS0412-C-Lindbergh-Sept_22_1934-01.jpg|MS0412-C-Lindbergh-Sept_22_1934-02.jpg	Crime in the Archives|Crime of the Century|2015 Exhibits
