Exhibit Category	Exhibit Subcategory (if applicable)	Image Filename	XML Filename	Artist Name	Active Dates	Publication Date	Creation Date	Format	Donor	Location	Rights	Description
1941		Principia_Philosophiae-1685-Descartes.jpg	Principia_Philosophiae-1685-Descartes.xml	Principia Philosophiæ, Principia Philosophiae	Descartes, René, 1596-1650, Typographia Blaviani	1685	-	Books	Memorabilia Collection, B1863 1685	Vanderbilt University Special Collections	Public Domain	French philosopher, mathematician and writer René Descartes has been called the father of modern philosophy. His Principia Philosophiae, first published in 1644, put forth the theory that the universe operated as a continuously running machine which God had set in motion. The universe, which has no vacuum, was composed of a 'subtle matter' he named 'tourbillons,' which swirled in vortices like whirlpools and actually moved the planets by contact.
1941		Rosaland_Franklin-DNA-Maddox-p154-2002.jpg	Rosaland_Franklin-DNA-Maddox-p154-2002.xml	Rosalind Franklin: The Dark Lady of DNA	Maddox, Brenda, HarperCollins (Firm)	2002	-	Books	Science and Engineering Library, QP26 .F68 M334 2002	Sarah Shannon Stevenson Science & Engineering Library	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	Deoxyribonucleic acid (DNA) is a molecule that encodes the genetic instructions used in the development and functioning of all known living organisms and many viruses. Most DNA forms two strands that wrap around each other to form a double helix. James Watson and Francis Crick were awarded a Nobel Prize for their proposed design of the double helix in 1953, based on the photography of Rosalind Franklin and Raymond Gosling.
1941		Systema_Naturae-Linne-1788.jpg	Systema_Naturae-Linne-1788.xml	Systema Naturae per Regna Tria Naturae	Linné, Carl von, 1707-1778, Gmelin, Johann Friedrich, 1748-1804, G.E. Beer	1788	-	Books	Sevier Collection, QH43 .C53 1788	Vanderbilt University Special Collections	Public Domain	Swedish naturalist Carl Linnaeus identified the three kingdoms of nature (stones, plants and animals) in his Systema Naturae (1735). Each kingdom was subdivided into classes, orders, genera, species, and varieties. Linnaeus identified six classes of animals, including mammalia, a term he coined that referred to animals that suckled. For Linnaeus, the naming and classifying of living beings was the key to all knowledge, especially the knowledge of God's plan for the world.
1941		The_Holy_Bible-1613.jpg	The_Holy_Bible-1613.xml	The Holy Bible, Great She Bible, Judas Bible	Barker, Robert, -1645	1613	-	Bibles	Memorabilia Collection, BS185 1613 .L6	Vanderbilt University Special Collections	Public Domain	Commissioned by King James I in 1604 for the Church of England, this is the third translation of the Christian Bible into English. Robert Barker, the King's Printer, first published the book in 1611; this edition contains printing errors that were eventually eliminated in a later edition of 1613. This folio depicts the offspring of Adam and Eve as a tree form, with text, "As by one man’s disobedience many were made sinners, so by the obedience of one shall many also be made righteous."
1941		Voyage_Historique_de_L'Amerique_Meridionale-Ulloa-1752.jpg	Voyage_Historique_de_L'Amerique_Meridionale-Ulloa-1752.xml	Voyage Historique de l'Amérique Méridionale: Fait par Ordre du Roi d'Espagne, Relacion historica del viage à la America Meridional, Voyage au Perou	Juan, Jorge, 1713-1773, Ulloa, Antonio de, 1716-1795, Mauvillon, Eléazar, 1712-1779, Arkstée et Merkus	1752	-	Books	Sevier Oversize Collection, F2221 .U441	Vanderbilt University Special Collections	Public Domain	In 1734, King Philip V of Spain asked Spanish mathematician, scientist and mariner Jorge Juan and scientist, author and astronomer Antonio de Ulla to join the French Geodesic Mission in measuring the length of a degree of meridian arc at the Equator. The mission was to determine the roundness of the Earth. Ulloa later published an account of the people and sights they encountered. Shown here is a triple rainbow seen after the eruption of Mount Cotopaxi.
Crime-in-the-Archives	assassinations	MS0412-C-Lynette_Fromme-Postcard-April_25_1975-01-AB.jpg	MS0412-C-Lynette_Fromme-Postcard-April_25_1975-01-AB.xml	[Postcard from Lynette Fromme, April 25, 1975]	Fromme, Lynette Alice, 1948-	-	1975-04-25	Postcards	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	As a protégé and longtime follower of Charles Manson, Lynette “Squeaky” Fromme acted as spokesman for the "family” carrying the message of Manson to the media. After Manson's arrest and 1971 conviction for the Tate/LaBianca murders, Fromme continued to represent Manson and deliver messages from him to his followers and keep his name alive in the press. She was trying to write a history of the Manson family using scrapbooks she created from letters, photographs and news clippings. No manuscript was ever found.
Crime-in-the-Archives	assassinations	MS0412-C-Lynette_Fromme-Postcard-April_29-01-AB.jpg	MS0412-C-Lynette_Fromme-Postcard-April_29-01-AB.xml	[Postcard from Lynette Fromme to David Nicolaus, April 29, 1975]	Fromme, Lynette Alice, 1948-	-	1975-04-24-1975-04-29	Postcards	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	In this postcard, Lynette “Squeaky” Fromme (1948- ) relates some news on Charles Manson and family members to potential biographer David Nicholas. She refers to fellow family members Susan Atkins, Patricia Krenwinkel and Linda Kasabian being confined at the California Institute for Women’s Prison (C.I.W.) and writes about the death of King Faisal of Saudi Arabia and Manson’s thoughts on world violence.  She corresponded with hundreds of people interested in Manson’s philosophy during the years after his conviction trying to keep his message alive.
Crime-in-the-Archives	assassinations	MS0412-C-Lynette_Fromme-Postcard-Feb_1975-01-AB.jpg	MS0412-C-Lynette_Fromme-Postcard-Feb_1975-01-AB.xml	[Postcard from Lynette Fromme to David Nicholaus, February 1975]	Fromme, Lynette Alice, 1948-	-	1975-02	Postcards	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	After the conviction of Charles Manson (1934- ) for conspiring to murder seven people and the publication of Vincent Bugliosi’s book Helter Skelter: The True Story of the Manson Murders, people from around the world wanted to write an official history of Manson and his family. Lynette Fromme (1948- ) fielded these requests for information and vetted offers from publishing houses to the rights of the true history of the group. Writing in coded language, she warns a potential biographer to stick to the true story of Manson and not give in to the media hype surrounding him and his followers.
Crime-in-the-Archives	assassinations	MS0412-C-Time-The_Girl_Who_Almost_Killed_Ford-Sept_15_1975.jpg	MS0412-C-Time-The_Girl_Who_Almost_Killed_Ford-Sept_15_1975.xml	The Girl Who Almost Killed Ford	Time	1975-09-15	-	Periodicals	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Vanderbilt University Special Collections	Copyright held by Time Magazine	Lynette “Squeaky” Fromme made the cover of Time for her attempted assassination of President Gerald Ford on September 5, 1975. Feminist leaders across the country reacted to the magazine’s use of the word “Girl” to describe Fromme, who was twenty-seven at the time, asking if they would have used “Boy” if Fromme had been male. For a short time she transformed from Charles Manson acolyte, would be assassin, to feminist cause célèbre.
Crime-in-the-Archives	assassinations	MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.01.jpg	MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.01.xml	The Washington Star, Front Page	Barnes, Frederic Wood, 1943-	1975-09-06	-	Newspapers	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	News of the attempted assassination of President Gerald Ford (1913-2006) broke immediately after it happened. All three of the major television news stations were filming as Lynette “Squeaky” Fromme (1948- ) pushed toward the president with her pistol, capturing the event as it happened. Newspapers of the day splashed the front pages with images of Fromme, Secret Service agents and the president. The Washington Star’s September 6, 1975, coverage of the startling event is typical of what front pages all over the country looked like the day after the attempted assassination.
Crime-in-the-Archives	assassinations	MS0412-C-Washington_Star-Sept_6_1975-Lynette_Fromme.02.jpg	MS0412-C-Washinton_Star-Sept_6_1975-Lynette_Fromme.02.xml	The Washington Star, Page A-4	Barnes, Frederic Wood, 1943-	1975-09-06	-	Newspapers	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	News of the September 5, 1975, assassination attempt on President Gerald Ford’s (1913-2006) life struck a chord deep in the American psyche as it had only been twelve years since the assassination of President John F. Kennedy by Lee Harvey Oswald. Lynette “Squeaky” Fromme was the first woman to attempt an assassination of an American president. Interestingly, only seventeen days later, while leaving a hotel in San Fransisco, California, another attempt was made on Ford’s life by Sara Jane Moore, who actually fired off a round at the president.
Crime-in-the-Archives	assassinations	MS0412-Ford-assassin-Fromme.jpg	MS0412-Ford-assassin-Fromme.xml	Fromme Fires Co-Counsel	Associated Press	-	1975-11-05	Black-and-white photographs	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	The trial of Lynette “Squeaky” Fromme for attempting to assassinate United States President Gerald Ford began on November 4, 1975. Three days before the trial began, President Ford gave a videotaped testimony from the White House as a defense witness in the trial of Fromme. The testimony was the first time a president testified at a criminal trial. Throughout the trial, Fromme was disruptive and often had to watch the proceedings via close-circuit television because of her outbursts.
Crime-in-the-Archives	assassinations	MS0412-Ford-assassination_attempt.jpg	MS0412-Ford-assassination_attempt.xml	President Gerald Fold Assassination Attempt	Colorano Covers	1975-09-05	-	First day covers	MSS0412, James G. Stahlman Historical Autograph Collection, Lynette Fromme	Vanderbilt University Special Collections	Public Domain	This Colorano “Silk” Cachet First Day Cover memorializes the assassination attempt by Lynette “Squeaky” Fromme (1948- ) to shoot President Gerald Ford (1913-2006) as he crossed a park in front of the California State Capitol at Sacramento, California, on September 5, 1975. First Day Covers have become popular ways to commemorate events and people and are highly collectible.
Crime-in-the-Archives	Crime of the Century	MS0412-C-J_Edgar_Hoover_Autograph-1949.jpg	MS0412-C-J_Edgar_Hoover_Autograph-1949.xml	[Portrait of J. Edgar Hoover]	Frehm, Paul, 1938-1978	-	1949	Color lithographs	MSS0412, James G. Stahlman Historical Autograph Collection, Hoover, J. Edgar folder	Vanderbilt University Special Collections	Public Domain	Illustrator Paul Frehm worked with reporter Damon Runyon to cover the Lindbergh trial for the New York Daily Mirror, a William Randoph Hearst newspaper publication. Frehm’s illustration of J. Edgar Hoover, who led the Bureau of Investigation’s efforts to find the kidnapper, portrays the director in 1949. Hoover's dogged success in the case raised his own profile and helped to bring the Federal Kidnapping Act to Congress, allowing federal authorities jurisdiction in cases crossing state lines.
Crime-in-the-Archives	Crime of the Century	MS0412-C-Lindbergh-Hauptmann_photos.jpg	MS0412-C-Lindbergh-Hauptmann_photos.xml	[Montage of Three Photographs of Bruno Richard Hauptmann on Trial]	Scheafer, Henry A.	-	1934-1936	News photographs	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles folder	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	The $50,000 ransom paid for the Lindbergh baby contained a number of gold certificates that were scheduled to be withdrawn from circulation. The Federal Bureau of Investigation (FBI) also recorded the serial numbers of all notes. When one of the certificates turned up in a Manhattan gas station, an alert attendant marked it with the license plate of a suspicious customer. This led agents to arrest Bruno Richard Hauptmann, a German immigrant living in the German-Austrian neighborhood of Yorkville.
Crime-in-the-Archives	Crime of the Century	MS0412-C-Lindbergh-Honor_program_cover-June_17_1927.jpg	MS0412-C-Lindbergh-Honor_program_cover-June_17_1927.xml	Breakfast in Honor of Captain Charles A. Lindbergh on the Presentation of the Raymond Orteig $25000 Prize	Malcolm and Hayes (Firm)	-	1927-06-17	Programs (documents)	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles	Vanderbilt University Special Collections	Public Domain	Charles Lindbergh's May 1927 solo flight from New York to Paris caught the world's attention and made him an instant celebrity. Conducted on the cusp of the Great Depression and the rise of underworld crime, the flight was a shining moment for a country that was quickly heading into darkness. When the pilot's baby was kidnapped in 1932, many Americans questioned how something so heinous could happy to their hero.  Surely, if it could happen to Lindy, it could also happen to them.
Crime-in-the-Archives	Crime of the Century	MS0412-C-Lindbergh-Ladder-March_8_1932.jpg	MS0412-C-Lindbergh-Ladder-March_8_1932.xml	How Kidnapers (sic) Got Lindy Baby		-	1932	News photographs	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles folder	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	The public was fascinated by how Charles and Anne Lindbergh's baby was kidnapped. Newspapers were full of details like this photograph of the home in Hopewell, New Jersey. The homemade ladder used to enter the baby's room proved critical in determining the guilt of Bruno Richard Hauptmann, a German-born carpenter. The FBI called in a U.S. Department of Agriculture wood expert to compare the ladder to identical wood in Hauptmann's attic.
Crime-in-the-Archives	Crime of the Century	MS0412-C-Lindbergh-Sept_22_1934-01.jpg	MS0412-C-Lindbergh-Sept_22_1934-01.xml	Link Hauptmann to Kidnap Ladder: Traced to Lindy Home	New York Evening Journal	1934-09-22	-	Clippings (information artifacts)	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles folder	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	The country followed the Lindbergh case as it was happening, as this issue of the New York Journal, published two days before Bruno Hauptmann was indicted for extoring $50,000 from Charles Lindbergh, reveals.  A jotted-down license plate on a gold certificate led police to Hauptmann's Bronx residence, where police found $14,000 in ransom money in a shoe box hidden in the garage.  They also found wood in his attic that matched the wood of the ladder used to take the Lindbergh baby.
Crime-in-the-Archives	Crime of the Century	MS0412-C-Lindbergh-Sept_22_1934-01.jpg, MS0412-C-Lindbergh-Sept_22_1934-02.jpg	MS0412-C-Lindbergh-Sept_22_1934-02.xml	Traced to Lindy Home: Link Hauptmann to Kidnap Ladder	New York Evening Journal	1934-09-22	-	Clippings (information artifacts)	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles folder	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	These two aerial photographs depict Bruno Hauptmann's upper Bronx home and St. Raymond's Cemetery, where the Lindbergh ransom money was delivered. Less than two miles separate the two locations. The New York Evening Journal was the first newspaper to regularly team a reporter with a photographer on major stories. A complete in-house lab and photographic technicians meant that that photojournalists could have images ready for print in 90 minutes.
Crime-in-the-Archives	Crime of the Century	MS0412-C-Lindbergh-Spirit_Autograph.jpg	MS0412-C-Lindbergh-Spirit_Autograph.xml	[Pilot Charles Lindbergh Poses alongside His Famous Plane 'The Spirit of St. Louis']	Daily News (New York), Lindbergh, Charles A. (Charles Augustus), 1902-1974.	-	1927	News photographs, Signatures (names)	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles folder	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	In 1919, French businessman Raymond Orteig established a $25000 prize to the first person to fly non-stop from New York to Paris. Eight years later, Charles Augustus Lindbergh collected the prize. Lindbergh's achievement was a boon to the fledgling aviation industry and while the Great Depression slowed some of that progress, Lindbergh's achievement set the stage for airplane production in World War II.
Crime-in-the-Archives	Crime of the Century	MS0412-Lindbergh-coin.jpg	MS0412-Lindbergh-coin.xml	The Charles Lindbergh Flight (26th Commemorative)	Becker, Henry A., Franklin Mint	-	1964-1968	Commemorative medals	MSS0412, James G. Stahlman Historical Autograph Collection, Lindbergh, Charles	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	In an era of supersonic jets and bullet trains, of flights to the moon and Google Maps, Charles Lindbergh's legendary 33 hour and 30 minute solo flight across the Atlantic in the cramped cockpit of a one-engine plane continues to capture the imagination of the world. "Lucky Lindy's" stripped-down aeronautic design and courage made him an idol to the world. Lindbergh gave the Spirit of St. Louis to the Smithsonian where it has been on display for over 80 years.
Crime-in-the-Archives	Leopold and Loeb	HV6248_L43_L54_1958-C-Life_Plus_99_Years.jpg	HV6248_L43_L54_1958-C-Life_Plus_99_Years.xml	Life Plus 99 Years	Leopold, Nathan Freudenthal, 1904-1971, Gardner, Erle Stanley, 1889-1970, Popular Library	1958	-	Paperbacks, Books	Sevier Collection, HV6248 .L43 L54 1958	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	Nathan Leopold (1904-1971) wrote Life Plus 99 Years while in prison awaiting a parole hearing.  He was released in 1958 after thirty-three years of incarceration.  Nathan Leopold and Richard Loeb’s (1905-1936) are best known for the heinous murder of fourteen year-old Bobby Franks on May 21, 1924 in Chicago, Illinois. Leopold’s autobiography details how the rehabilitation of inmates can be effective as seen in his own experience. Upon his release from the Statesville Penitentiary he moved to Puerto Rico, married and worked as an X-ray technician.
Crime-in-the-Archives	Leopold and Loeb	MS0412-C-Leopold_and_Loeb-Courthouse_Crowds-July_24_1924.jpg	MS0412-C-Leopold_and_Loeb-Courthouse_Crowds-July_24_1924.xml	[Crowd outside Courthouse Building during Leopold and Loeb Trial]	Underwood & Underwood	1924-07-26	-	Black-and-white photographs	MSS0412, James G. Stahlman Historical Autograph Collection, Nathan Leopold	Vanderbilt University Special Collections	Public Domain	The trial of Nathan Leopold (1904-1971) and Richard Loeb (1905-1936), at Chicago's Courthouse Place, was a media spectacle drawing hundreds of spectators every day. Loeb’s family hired famed attorney Clarence Darrow, one of the most renowned criminal defense lawyers in the country and a staunch opponent of capital punishment. Darrow’s passionate twelve-hour plea at the conclusion of the hearing has been called the finest speech of his career and is often referred to as a masterful narration against the death penalty.
Crime-in-the-Archives	Leopold and Loeb	MS0412-C-Nathan_F_Leopold_letter-Dec_7_1964.jpg	MS0412-C-Nathan_F_Leopold_letter-Dec_7_1964.xml	[Letter to Mary K. Brown]	Leopold, Nathan Freudenthal, 1904-1971	-	1964-12-07	Letters (correspondence)	MSS0412, James G. Stahlman Historical Autograph Collection, Nathan Leopold	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	After his release from prison in 1958, Nathan Leopold (1904-1971) moved to Puerto Rico where he restarted his life as an x-ray technician and advocate for the abolition of the death penalty. In this letter, he discusses his opposition to capital punishment and his belief that criminals could be rehabilitated. While in prison, Leopold worked tirelessly to improve the lives of inmates, teaching reading and establishing libraries within the penitentiaries.
Crime-in-the-Archives	Leopold and Loeb	MS0412-C-Richard_Loeb-Slain_in_Prison-Jan_28_1936.jpg	MS0412-C-Richard_Loeb-Slain_in_Prison-Jan_28_1936.xml	Dickie Loeb Slain in Prison	Acme Newspictures (New York, N.Y.)	1936	1924	Black-and-white photographs	MSS0412, James G. Stahlman Historical Autograph Collection, Nathan Leopold	Vanderbilt University Special Collection	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	Richard Loeb was killed in 1936 by his cellmate James Day at the Illinois State Penitentiary at Statesville. During his time in prison, he was under constant threat by other prisoners because of the heinous nature of his crime. Leopold (19 at the time) and Loeb (18 at the time) were considered the first “thrill killers” in America, a phrase that has become synonymous with their names. Both admitted that they were driven by the thrill of the kill, their Übermensch delusions, and their aspiration to commit a "perfect crime."
Crime-in-the-Archives	Leopold and Loeb	The_San_Fransisco_Call-Aug_28_1924.jpg	The_San_Fransisco_Call-Aug_28_1924.xml	[Leopold and Loeb Case Headline]	San Francisco Call Co.	1924-08-24	-	Periodicals, Newspapers	MSS0412, James G. Stahlman Historical Autograph Collection, Richard Loeb File	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	The headline for the August 28, 1924, edition of The San Francisco Call refers to the thrill killers Nathan Leopold and Richard Loeb's trial for the horrific murder of Bobby Franks. Newspapers across the country followed the court case, filling their pages with gruesome facts about the abduction and murder.
Crime-in-the-Archives	Making Money from Murder	Compulsion-M_Levin-1956-cover.jpg	Compulsion-M_Levin-1956-cover.xml	Compulsion	Levin, Meyer, 1905-1981, Pocket Books	1957	-	Paperbacks, Books	MSS0412, James G. Stahlman Historical Autograph Collection, Leopold, Nathan folder	Vanderbilt University Special Collections	Copyright; use considered fair according to the ARL Code of Best Practices in Fair Use	Levin's novel was based on the 1924 Leopold and Loeb murder case. Psychiatric experts played a large part in the young men's avoidance of the electric chair, as it had in the trial of Charles Guiteau, who assassinated President Garfield in 1881 and in the defense of Harry Thaw in the 1906 Stanford White case. Loeb was killed in prison, but Leopold  was paroled, after which he unsuccessfully sued Levin for defamation of character.
